,Twit,Tag,Num,Nombre
833,"Amigo como no les puede gustar estas tormentas yo me re sentaría en el flotante a ver todos lo rayos, el viento, el agua.. es perfecto😍😍",1,33126,fede
834,"Ayuda difuminar cicatrices, a eliminar pequeñas imperfecciones o granitos, además funciona como una barrera natural para proteger la piel de los rayos solares. Además, la vitamina E es un espectacular antioxidante que protege las células. #SEYTÚ

— SEYTÚ Cosmética (SeytuCosm…",0,44318,fede
835,Lluvia 😍,0,83924,fede
836,Que lluvia del orto espero que drene bien la bombonera,1,9472,fede
837,Que linda lluvia ...(seria un 10 la noche si estuvieras acá conmigo),1,13590,fede
838,"El crack de @nicofuelico con su guitarra en una tarde hermosa de lluvia que nos dio el señor, Que mas puedo pedir???",0,6586,fede
839,"Igual altas ganas de volver cuando estábamos en pleno auge tipo 2013/2014, era andar todos los días del año por más viento, lluvia, hielo, frío que haya",0,87613,fede
840,"""a veces las lluvias solo mojan"" pensó el héroe del fuerte en esos años. Salir de la tumba y no tener vocación a cualquier yugo que no fuera de caño.",0,30449,fede
841,Ni ganas de ir al colegio con esta lluvia,1,43163,fede
842,La siesta en el campo más la lluvia. Es algo único 😎😎,0,102406,fede
843,lluvia de estrellas male sal,0,78776,fede
844,"Lluvia 😍 y Siesta 😍
La Mejor Combinación 😍😍",0,41265,fede
845,Que linda combinación lluvia + estudiar para rendir 4 días seguidos como para cabecear una bala,0,30385,fede
846,"Robaron un moto en barrio Jardín

Fue a cenar a la casa de su suegro, dejó la Honda Tornado afuera y se la sustrajeron.

https://t.co/DHfaDjFFa5",0,62374,fede
847,"Datos actuales en #SantaFe
Barrio Sgto. Cabral:
T: 25.7°C
H: 78%
ST: 25.7°C
P: 997.1hpa
Lluvia hoy: 42.8mm",0,20051,fede
848,Que hermosa lluvia para dormir ⛈❤️,1,24383,fede
849,Unas ganas de ver la lluvia de estrellas con un fernet en la mano.,0,88630,fede
850,Llueve lindo y mucho en Córdoba! Creo que la lluvia me viene persiguiendo y viajó conmigo Cba-Neuquén-Río Negro y a la inversa Río Negro-Neuquén-Cba,1,13100,fede
851,La vez que van a empezar llueve lpm,0,65883,fede
852,Truenos chotos,1,92739,fede
853,@omaarsoria volvamos a la tarantela de anoche bajo la lluvia,0,60579,fede
854,Lo bueno de toda esta lluvia que no vamos a correr en el gym https://t.co/ofPNj8COCQ,1,46535,mechi
855,"¡Odio el calor! Devuelvanme los días grises, el frío y la lluvia por favor.",0,10420,mechi
856,🌧️Niño instalado hasta abril 2019 #Lluvias #Campaña1819 #maiz #soja https://t.co/O73hwJXaeC,1,94157,mechi
857,Buen día viernes de tormentas en Paraná https://t.co/8vxx4vbL5F,1,45156,mechi
858,Yo quisiera tomar sol como cualquier persona pero TRABAJÓ TODA LA TARDE Y LOS DOMINGOS QUE NO TRABAJO ESTÁ NUBLADO O EN SU DEFECTO LLUEVE,0,79564,mechi
859,Que lluvia puta,1,79292,mechi
860,@jeremiascalo No se indignan por la lluvia se indignan por las calles rebalsadas de agua por las NO obras públicas que hacen y nadie dijo que NO hay hambre en los km 🤔,0,1348,mechi
861,Lluvia que lindo 😍🌧️!!,1,90735,mechi
862,"Gente consejo:no agarrar descalzo nada que sea eléctrico, cuando hay tormenta. Pueden quedar como yo esta mañana. Saludos.",0,28869,mechi
863,"Gracias a Dios un poco de sol para tanta gente que la está pasando mal por la lluvia. 🌞🌞

Que tengan un hermoso día. https://t.co/j22almyABz",0,36710,mechi
864,Dormirse escuchando la lluvia tendría que considerarse la octava maravilla del mundo.,0,53684,mechi
865,"Que sueño, lluvia dicen",0,53397,mechi
866,Por qué ahora que tengo que ir a entrenar llueve? 🤦🏽‍♂️,1,51155,mechi
867,mira qué lindos rayos como para que me caiga uno en la frente,1,14480,mechi
868,"Después de la lluvia siempre sale el sol, dicen!",0,90240,mechi
869,"18 cumpleaños con 40 grados y para mis 19 llueve, bueno gracias igual ni quería hacer joda",1,97788,mechi
870,"El tiempo #en Santa Fe:
Barrio Constituyentes
T: 22.8°C
H: 28%
ST: 22.8°C
P: 1016.9hPa
Lluvia hoy: 0.0mm.",0,38474,mechi
871,"Norte de San Luis.
Cien familias de Lafinur afectadas por los destrozos que provocó la tormenta. https://t.co/8sxuO67wGH",1,20759,mechi
872,Tranquila mama la tormenta pasará♪,0,47827,mechi
873,"Ya se acercan los especiales de Lavecchia y no vi Planeta gol en todo el año, rayos",0,59378,mechi
874,"@MuniCba Por favor , hace 15 días después de la tormenta quedó BARRO en los desniveles de la calle, justo en mi frente. Los 3 viernes siguientes barren las calles del barrio y saltean Amancio Alcorta, cuadra del 3700. El barro se está pudriendo, mucho olor.",1,104427,mechi
875,"El clima parece mi estabilidad emocional, llueve un rato, sale el sol, y cuando menos lo esperas se larga con toda, así sucesivamente",1,11563,mechi
876,"@lagarchetta Recién pegó una lluvia tremenda pero cortita, en 10 minutos paró",1,76134,mechi
877,"vola alto mi suru, la tranquilidad de saber que estás llegando en paz, que está lluvia sos vos dándonos esa tranquilidad que vas a estar en paz. vas a ser la estrella más brillante del cielo. hasta siempre flaco😇💗",0,46091,mechi
878,Lo peor de todo no es esta lluvia... lindo calor se va a venir después,1,96593,mechi
879,Y si venis y dormimos con la ventana abierta mientras llueve?,0,36200,mechi
880,esta tormenta es porque le mande algo a la Candela y ME RESPONDIÓ,1,40424,mechi
881,"Y yo que iba ir a área, que linda lluvia",1,102412,mechi
882,"#VillaMaria 03:00 hs | Temp 23.3°C Min=23.3°C (01:08) Max=23.8°C (00:00) | Hum.92 | Viento 11.2 km/h NE, Pres.984.1 hpa Lluvia   0.0 mm",0,69606,mechi
883,Bueh... Todos escucharon un súper trueno y yo ni ahí!🤔,1,85635,mechi
884,"Me gustaría tener un perro, solo para poder sacarlo a pasear a esta hora (con lluvia y td)",0,49487,mechi
885,Llueve... a mi me dan ganas de estar en tu cama y me quiero matar,1,53701,mechi
886,Que verga ésta lluvia loco,1,24730,mechi
887,parecía que se iba a caer el cielo y ni arranco la lluvia :(,1,79152,mechi
888,La puta que te parió lluvia culiada. Activo la casa de una .,1,108274,mechi
889,@pickyvod intenta poniendo sonidos de lluvia o cosas asi,0,53313,mechi
890,Fanática de las tormentas.,0,47328,mechi
891,"#Pronóstico #Córdoba Jueves: Mínima: 20°C/Máxima: 35°C, Tormentas, Prob. lluvias 100%; Viernes: Mínima: 15°C/Máxima: 28°C, Parc. soleado, Prob. lluvias 100% . Hora: 21:00:02 #ClimaCordoba",0,71313,mechi
892,@KarennMorenoB También escuché pero no sé si era un trueno jaja,0,19319,mechi
893,"Que lindo ser imparcial, que te de lo mismo cualquier resultado y que además la lluvia ponga en riesgo esta final entre dos equipos que viven cagando al resto de los clubes, se acomodan los árbitros, las fechas, los horarios...",0,9535,mechi
894,Uh se viene la verdadera tormenta que lindo siiiiiiii,1,8953,mechi
895,"12h Agvnet CDU: Temp. 34.2 °C, Hum. 37 %, Bar. 997.7 hPa, Lluvia 0 mm, Viento 5 km/h NNE #Weathercloud",0,42123,mechi
896,Quién puede dormir mal escuchando el sonido de esta lluvia ?? Amo 😍🌧️⛈️,1,14632,mechi
897,@juanbrnuevo venite a mi casa a ver la lluvia amor,0,80597,mechi
898,😂😂😂😂🌈 el rayo gay lo fulminó https://t.co/aiivbeUGC4,0,10826,mechi
899,Alguien mas escucho el trueno mas groso de su vida en la madrugada?,1,86535,mechi
900,La fuckin' primavera y sus tormentas estilo apocalípticas 😑,1,6626,mechi
901,Producto de la lluvia una mujer de 73 años protagonizó un accidente vial: La conductora del automóvil Ford Fiesta fue trasladada al complejo sanitario San Luis. https://t.co/zlmve8K283 https://t.co/v3yWUEZPCz,1,89696,mechi
902,Por dios esos truenos lpm,1,64587,mechi
903,Chicos les voy a ir a poner una carpa a los gitanos en colectividades a ver SI ASÍ NOS DEJAMOS DE JODER CON TANTA LLUVIA QUE YO QUIERO BAILAR.,0,33276,mechi
904,"Esta lluvia, por Dios",1,61099,mechi
905,"0h Agvnet CDU: Temp. 26.6 °C, Hum. 90 %, Bar. 990.8 hPa, Lluvia 0 mm, Viento 2.5 km/h SO #Weathercloud",0,98797,mechi
906,Boe tormenta cálmate que no tengo ganas de irme abajo a dormir,1,72355,mechi
907,"#Frida dormí tranquila
Total llueve y no puedo lavar la ropa 😂😘❤ https://t.co/3fve8KBQLv",1,26646,mechi
908,Con esta lluvia ta para hacer de todo 🥰,1,75932,mechi
909,mi novio  se ríe porque le tengo miedo a los truenos 😭,0,2728,mechi
910,"Hola querés venir a casa el 13 y 14 de diciembre a mirar la lluvia de estrellas?

enviar",0,67195,mechi
911,@Emirchu Si aja a ver la lluvia de estrellas,0,70133,mechi
912,"@FranCiordia KEEE, oh rayos, que dije?? Ajajajaj",0,76985,mechi
913,Lluvia del orto,1,90580,mechi
914,mi tío santiagueño me invito a ver la lluvia de estrellas en el campo un genio se puso la 10 jaj D:,0,59777,mechi
915,👉Este  protector Solar en aerosol hidratante provee protección alta frente a los ⚡️ rayos UV.  Su fórmula está enriquecida con ácido Hialuronico de origen natural . ✔️Textura acuoso ✔️Resistente al sudor 💦 y al... https://t.co/m0zp3HxPWv,0,39355,mechi
916,"Anoche Vi una estrella fugaz de casualidad, porque ni me acordaba que era la lluvia de estrellas... Y me trajo tantos recuerdos de veranos pasados, horas y horas con amigos en el campo mirandolas ❤️💫",0,70640,mechi
917,Nada mas lindo que dormir una siesta con lluvia 😍,0,44710,mechi
918,Son casi la una y llueve. Necesito que vuelva a abrir el super así me compro un pan dulce. Lo malo es que son tan vagos estos chinos que son las 12 y recién aparecen.,1,12159,mechi
919,"No se dan una idea del miedo que tengo a viajar con tormenta y mi novio quiere que vaya. Chicxs, si me sucede algo, ya saben.",1,3996,mechi
920,La lluvia de bell ville se esta viniendo para aca😍,1,94415,mechi
921,Linda tormenta se viene,1,75234,mechi
922,Tranquilo la tormenta pasará 🎶🤗,0,36332,mechi
923,"Queres ver la lluvia de estrella conmigo, mientras comemos boludeces y hablamos de la vida? 

-Enviar https://t.co/osmt3Q3R4s",0,59677,mechi
924,Que cosa linda las tormentas,0,76876,mechi
925,Se viene una lluvia re linda para dormir con vos,1,68175,mechi
926,"@Maite_centione Colgué en entrar a twitter, rayos",0,24161,mechi
927,"Miren como llueve y yo tengo que ir a trabajar, que feo es crecer",1,96841,mechi
928,"Otro Nacional en mardel, otra vez que hace frío y llueve 😟😔",1,19324,mechi
929,Que piola estan los truenos,1,9532,mechi
930,Lluvia me tenés los huevos como dos paquetes de yerba!,1,34576,mechi
931,Rayos 😑,0,36354,mechi
932,Cómo está la lluvia he 👌,1,71936,mechi
933,Si mañana llueve así a mariachi le mando dos besitos,1,10374,mechi
934,Con esta lluvia está para re pollerear juntos castaña (re que ni la caza seguro),1,45835,mechi
935,@lacapital Xq la Municipalidad no paga los daños que se hicieron en mi casa con la inundación ???,1,85013,mechi
936,tormenta de facha quisiste decir? jajaja https://t.co/qvbHE3AL7Q,0,47903,mechi
937,Alta tormenta y yo en la escuela😣,1,45321,mechi
938,Pero que hermoso día de lluvia para dormir completo ♥ lástima que tengo que seguir estudiando 😢,1,75796,mechi
939,"Está mamá luchona se trenzó con la tormenta y salió a buscar la ropa de la soga.
La macrisis no me dá como para bancar que se vuele la ropa. 
💸🌪⛈🌬⚡️",1,100920,mechi
940,Estoy viendo en qué medio de transporte me voy a trabajar. Dudo si me tomo el 103 o agarro alguna canoa porque está todo inundado.,1,86681,mechi
941,"Qué se hace en días con lluvia Delfina??
 Camukis https://t.co/ggPaZqAQx2",0,58834,mechi
942,"Llueve 10 min  y sale 5 el sol y así, hermosa humedad.",1,10739,mechi
943,"Hola querés venir a cucharear toda la noche mientras escuchamos los truenos?

Enviar",0,32734,mechi
944,Que lindo es cuando llueve y tenes faso,0,17746,mechi
945,"La tormenta se va a venir, me puse a estudiar... 😂",1,44136,mechi
946,@Emi_Antonucci Nos roban hasta la lluvia los porteños jajaja,0,7203,mechi
947,Este álbum está hermoso para escucharlo un día de lluvia re crazy con los pibes,0,11624,mechi
948,que enfermitos los que salen con esta lluvia a la calle (menos los que trabajan),1,7633,mechi
949,Linda tormenta se viene 🤤,1,74722,mechi
950,lluvia solo quiero decirte que te amo,1,94857,mechi
951,"Datos actuales en #SantaFe
Barrio Colastiné Norte:
T: 23.4°C
H: 82%
ST: 23.4°C
P: 1006.9hpa
Lluvia hoy: 22.5mm",0,98937,mechi
952,Hoy no puse a lavar ropa porque me dio paja Y OBVIO que mañana está anunciado lluvia qué difícil es ser ama de casa,1,44175,mechi
953,"Me chupé en la primera final y la suspendieron por lluvia. Sean serios y definan rápido si van a suspender esta, así dejo de tomar cerveza al pedo.",1,47759,mechi
954,"Que lindo dormir con lluvia, tremenda paz me genera el ruido 🌧",1,33386,mechi
955,"🌦️ Lluvia y calor, los protagonistas del sábado

👉 Se prevén precipitaciones para toda la jornada y la máxima llegará a los 34ºC

➡️ https://t.co/HRIbi4Uyx6 https://t.co/int6h6oWYm",1,99391,mechi
956,Aaaaa lluvia te amooooo,0,43212,mechi
957,Quiero salir a jugar #PokemonGo pero llueve y tengo que estudiar 😔,1,57983,mechi
958,"@luchidinatale16 A lo chulo,Si llueve jaja",1,83737,mechi
959,Estoy en el pique si llueve estoy al horno,0,52797,mechi
960,ESTA LLUVIA DE MIERDA NO QUIERE PARAR ESTA LLUVIA DE MIERDA NO QUIERE PARAR SON LAS GALLINAS QUE NO PARAN DE LLORAAAAAAAR,1,3910,mechi
961,Queres venir a ver la lluvia de estrellas conmigo? 💫💯😻,0,78600,mechi
962,0 estudio mañana llueve fe en dios nv,0,37119,mechi
963,Ponerse a limpiar el patio al rayo del sol y otra manera fea de empezar el día,1,103621,mechi
964,"Me explota la cabeza, seguro no es porque estuve 7 horas en el rayo del sol y me tomé 10 birras de por medio",1,98374,mechi
965,Voy a cargar el cel antes que la EPE me la corté por la tormenta,1,32174,mechi
966,en mí casa llega a pasar una tormenta como esta pasando en todos lados y tengo que ir a buscar los galpones a colon mas o menos,1,86139,mechi
967,Qué lindo sería estar en casa  mirando la lluvia con mates y tortas fritas.,1,13119,mechi
968,Zarpada tormenta ⛈🌬🌪 #Cordoba,1,75725,mechi
969,"Si no te mandaron a la esquina a ver si llueve, fracasaste como incha pelotas",0,64888,mechi
970,Lluviaaaaa tus besos frios como la lluvia,0,57008,mechi
971,que lluvia del re orto loco,1,55913,mechi
972,"Salimos a correr y se levantó viento y tormenta. Ya fue el mundo me quiere en mi casa, con 20 kilos de helado y Netflix",1,78230,mechi
973,"El tiempo #en Santa Fe:
Barrio Constituyentes
T: 29.3°C
H: 48%
ST: 29.3°C
P: 1009.8hPa
Lluvia hoy: 0.0mm.",0,1721,mechi
974,@cotysanchezok Mmm me parece que esta tormenta va para rato che 😂😂,1,30246,mechi
975,Lo más cerca que estuve de la muerte fue recién cuando el viento tiró una puerta y se me cayó encima. Lpm me rayó toda la panza y la pierna 😭 😭,1,101404,mechi
976,"⛔⛈💨 #AtentosalTiempo Calles inundadas y zonas anegadas luego del fuerte temporal de lluvia en #Rosario @SMN_Argentina
📌 Llovió casi 50 milímetros en poco más de media hora. Hay denuncias por 40 árboles y ramas caídas
https://t.co/8Cbz7u8cNR",1,104226,mechi
977,Hermosa lluvia ☔❣,1,109505,mechi
978,"Que locura caminar 5km re escabio y bajo lluvia , gracias por tanto amigos ❤️",1,23028,mechi
979,La mañana de @labarradecasal no para de generar #duelos 👊👊 #Ahora el match es entre movileros por el análisis de la #lluvia ☂️🌧️¿Lloverá todo el día o no? Y @PCKassabian @EMICATTANEO https://t.co/zIDmC4mBMy,0,52275,mechi
980,Linda tormenta para tener novia,1,97010,mechi
981,"FP1 de #AdDiriyahEPrix bajo la lluvia @pechito37 - @GEOXDRAGON sobre su #Gen2 la práctica podría suspenderse #ABBFormulaE #FormulaE 
#FANBOOST #JoseMariaLopez https://t.co/5lidaVvK1k",0,88639,mechi
982,LA PUTA CON LA LLUVIA QUEREMOS TOMAR SOL,1,91432,mechi
983,Qué desastre Baires todo inundado....acá en las sierras están por caer CFK de punta!,1,6578,mechi
984,"Primero querían calor, llegó el calor y se empezaron a quejar, ahora llueve y se quejan de la lluvia pero manga de boludos",1,26924,mechi
985,@alexisfa_ La cola te llueve xdxdxd,0,66412,mechi
986,"Clásico, terminó de lavar el auto y llueve.... 😔🔫",1,40578,mechi
987,Esquina con amigos y lluvia🌘👍,1,87342,mechi
988,"Me se hacer todo tipo de peinado, pero ninguno queda bien con mi vestido. Rayos 😟",0,66722,mechi
989,Con esta lluvia esta para dormir con vos,1,34062,mechi
990,"@kuervakk Golpista!! Jajajaja ya veo la lluvia de tweets con esa acusación, guardo pero no juegues con las ilusiones soy muy sensible",0,89893,mechi
991,Anoche el último viernes del año nos despidió con una hermosa lluvia 😍,1,102705,mechi
992,Imágenes de #SabJusto #SantaFe #inundaciones #tormentas #lluvias @dariogurvich @leodelga2 https://t.co/9OxLv3JCFb,1,19660,mechi
993,"#BuenViernes👉🌦😁💪
Buenas condiciones. Nubosidad variable
Fresco a cálido.
Inestable sobre la noche con probables lluvias
Mínima 16° Máxima 27° 
#Pronosticodeltiempo #tiempo #Rosario #SomosRosario https://t.co/tITuDKgKGZ",1,56235,mechi
994,Que hermosa lluvia,1,8335,mechi
995,"Caen rayos desde ayer y yo dejé todo enchufado en mi casa, temo por el televisor y mi amado lavarropas 😫😭",1,31404,mechi
996,Me asustaron la tormenta manga de giles https://t.co/mPAT0c8cZ4,1,16286,mechi
997,"4h Agvnet CDU: Temp. 12.5 °C, Hum. 75 %, Bar. 1017.4 hPa, Lluvia 0 mm, Viento 7.2 km/h S #Weathercloud",0,59132,mechi
998,"Faa mal ahi la lluvia, y ahora como seco las flores😒",1,7597,mechi
999,LLUVIA DE MIERDAA,1,4906,mechi
1000,"Que lluvia del ORTO, esperamos tanto este día",1,8206,mechi
1001,"Me levanto a esta hora pq anoche no quería estudiar con lluvia (me daba paja) y ahora parece que se va a inundar todo, lpm",1,22093,mechi
1002,Soy tan cagona cuando hay tormenta  y viento fuerte,0,73903,mechi
1003,"QUE LINDA ES LA LLUVIA, EL FRÍO, EL VIENTO Y TODAS ESAS COSAS RELACIONADAS CON EL INVIERNO.",1,78473,mechi
1004,Los días de lluvia me hacen compartir muchas pavadas en Facebook,0,22955,mechi
1005,A pesar de la lluvia el campo del coloso está impecable y se juega desde las 19.15 ! #Newells #DefensaYJusticia https://t.co/QJYJ47OW5P,1,27814,mechi
1006,"Que cagaso ese rayo,creo que fue el más fuerte que escuché en mi vida",1,25548,mechi
1007,Te va a caer el mal como tormenta... @Ignamercado7,0,17444,mechi
1008,@Luisina50930831 Si llueve,1,23753,mechi
1009,todo el dpto inundado de vuelta la puta que lo alquiló acá también,1,30972,mechi
1010,Ayyy que trueno de mierda,1,16723,mechi
1011,"mira esta lluvia y no estás, veniiiii",1,87361,mechi
1012,"Estoy que me mandó a caminar bajo esta tormenta, que piola mennn",1,23403,mechi
1013,@ManuelPaglia Como que llueve un poco para estar en la flora,1,61190,mechi
1014,Llueve con tormenta eléctrica ah pero mañana,1,27530,mechi
1015,"Córdoba: estiman una caída del 24% en la cosecha de trigo

Eso será debido a Las heladas tardías granizo y exceso de lluvias

TODO MAL

🚜🚜 https://t.co/7PfC2Q9815 vía @Infocampoweb",1,39061,mechi
1016,La suerte ante todo pero para el egreso llueve 👍,1,61106,mechi
1017,"@LeoAchilli No bancamos tanta lluvia los cordobeses, nos gusta así como la Cañada poquita agua",0,25914,mechi
1018,"Ya me imagino el 5, el auditorio inundado de mocos y lágrimas de la emoción",0,44098,mechi
1019,Rayos que agradable sujeto https://t.co/mjMe1ydund,0,55005,mechi
1020,Estoy enamorada de los truenos,0,22233,mechi
1021,"#VillaMaria 22:00 hs | Temp 29.0°C Min=19.0°C (04:42) Max=35.9°C (15:25) | Hum.50 | Viento 15.8 km/h N, Pres.979.4 hpa Lluvia   0.0 mm",0,43081,mechi
1022,lluvia de mierda no me vengas a cagar el viernes,1,18958,mechi
1023,Porqué será que los días en los que tengo que ir al centro llueve torrencialmente...,0,65432,mechi
1024,"Menos mal que mañana esta pronosticado lluvia y ya se ven unas nubecitas negras por allá lejos, sino ya me estaba tirando por el balcón",1,75831,mechi
1025,"Mi hombro y rodillas me están matando, en un rato llueve",1,41710,mechi
1026,y si nos quedamos acostados con la lluvia escuchando rels b?,0,24961,mechi
1027,Define rayo de sol: https://t.co/4PqNKaAsFh,0,108547,mechi
1028,"La tormenta viene y dura 3 segundos. Quiero lluvia, viento, frío",1,109231,mechi
1029,@malee_junco Jajajajajajajaja es más pajera... Como si la lluvia no mojara las plantas🤦,0,96219,mechi
1030,Voy a salir s caminar.bajo la.lluvia,1,17798,mechi
1031,Con esta lluvia unas ganas de dormir hasta la 12,1,52654,mechi
1032,"La lluvia, mis amigos y la música 🖤",1,17660,mechi
1033,"A esta altura del año, con todo lo que paso, me da igual si hoy me cae un rayo",0,63862,mechi
1034,Que linda lluvia y tormenta,1,1873,mechi
1035,Me despertaron de mi siesta p que lleve a guardar la camioneta por la tormenta.. espero que caigan piedras del tamaño de una pelota de voley. MÍNIMO,1,84963,mechi
1036,"La lluvia, helado, peli y mi amiga😍😍😍",1,60422,mechi
1037,Soy yo cada vez que llueve https://t.co/zaLKE9tGOI,0,71081,mechi
1038,Odio las tormentas eléctricas 😨🙄,0,4914,mechi
1039,Lluvia me cagas toda la semana sin poder entrenar!!!,1,21136,mechi
1040,Jajajaja sisisi que linda la lluvia mientras te rascas los dos huevos y no salís a caminar por el agua y el barro boludito,0,47322,mechi
1041,Que cagada la lluvia lpm 🤦🏼‍♂️🤦🏼‍♂️,1,93694,mechi
1042,"He comprobado que cada vez que estudio llueve, mala o buena suerte?",0,30515,mechi
1043,"La re peor que se me corte la luz un domingo a la noche y de tormenta, re mambero deja",1,33564,mechi
1044,"@peladopoggi  y Ramita tienen para vos la mejor selección de noticias divertidas y la mejor música para terminar este #LunesFeliz en @TARDEUNIVERSO 
Contanos por Donde andas? Como te trata esta tarde de lluvia?
#Whatsapp 3364537926 #VeranoUniverso
https://t.co/LDii0q6SGz https://t.co/Hy3vPR5MJJ",0,85077,mechi
1045,"Queres venir a dormir conmigo mientras escuchamos la lluvia?

Enviar",0,73056,mechi
1046,@TangueraOrtola Buen dia al fin sin lluvia,0,36928,mechi
1047,Me iba a quedar despierta hasta que escuché el trueno...,1,63966,mechi
1048,"@chinoodisio En defensa y Justicia sería figura, pero esto newells!!! No es para cualquiera. Bien igual el Rayo, el tipo es delantero y juega de volante ofensivo con obligación de marca, hace lo que puede en retroceso y aporta ofensiva",0,60693,mechi
1049,ASÍ PODRÍA PRODUCIRSE ALGO MUY PODEROSO EN EL UNIVERSO | https://t.co/WbprvMtjwG https://t.co/mpKH8vDOBt,0,42629,mechi
1050,Poquito llueve,1,25061,mechi
1051,"#fmslafinal trueno tuvo muchos resultados injustos, pero lo de hoy es incuestionable",0,103150,mechi
1052,"Increíble Bola de Rayos Con Luces Giratorias de colores (Azul, rojo y verde) 
Dale Onda a tu Fiesta de una forma sencilla!!!
- Se conecta a cualquier porta Lámpara de Luz convencional.
- No tenés que... https://t.co/8ijcTipylI",0,37310,mechi
1053,@pabloyakomovsky @danacosta_ Pidiendo fuerzas federales para resolver la inseguridad y con obras claves para que no se corten más las rutas con una lluvia.,1,57637,mechi
1054,Tremenda tormenta para dormir de a 2,1,14988,mechi
1055,"Amo esta lluvia y encima entrenar, ya se me fue todo malestar",1,25908,mechi
1056,Una paja salir de casa con esta lluvia beibi,1,92096,mechi
1057,Un importante sistema desarrollándose al norte de Punilla con mucha precipitación y ocasional granizo. Podría intensificarse al pasar por las Sierras de Córdoba. https://t.co/vSv5aZTLOw,1,85558,mechi
1058,Me acuerdo cuando nos vinimos en moto en ruta sin luz con alta tormenta 😱😱,1,72012,mechi
1059,Y la lluvia la concha de la lora,1,96047,mechi
1060,Con esta tormenta está para coger todo el dia😉😐,1,51000,mechi
1061,Adentro llueve y parece que nunca va a parar,1,3993,mechi
1062,@PragaNightClub si llueve vamos con piloto y botas pero porfi no lo suspendan,1,107180,mechi
1063,Si aca en resistencia acostada porque está todo inundado... Que BRONCA!!!!,1,81230,mechi
1064,AL FIN LLUVIA😍,1,107324,mechi
1065,Dicen que siempre llueve cuando muere un pibe bueno porque los áNGELES LLORAN SI OTRO GUACHO SE VA AL CIELO!!!! https://t.co/hDljM3G1II,0,28790,mechi
1066,@EmiiAlderete06 Xq vos te habrás bañado llueve...,0,90638,mechi
1067,que problema tienen con la lluvia esa de papeles de los arbolitos NO VEN que QUEDAN HORRIBLES,0,82842,mechi
1068,Ya que lo están cronicando piedra en seco zona #KEMPES como te odio lluvia frío encima piedra que no sea un veranito aguado... #BuenDomingo #FelicesFiestas,1,109721,mechi
1069,@ArrietaCandela3 Éxitos para vos también amiga❤ es horrible tener que ir a rendir con lluvia😪,1,43960,mechi
1070,"La lluvia, en cámara lenta. #Rosario. https://t.co/5V0jyfP8SX",1,55704,mechi
1071,Sos pelotuda o dejas que los dos días de lluvia se te moje la ropa colgada?,1,51872,mechi
1072,"@diegozelonka @Roomy_Bonato 9 de julio de 1991 lluvia barro, rotura anal todavía sangrante.",0,8961,mechi
1073,"entré a bañarme y empezaron los truenos y cortes de luz, ksi muero",1,101258,mechi
1074,Linda lluvia ❤,1,74779,mechi
1075,Fa era con granizo la cosa,1,72509,mechi
1076,Esta es la lluvia que nos merecemos,1,56676,mechi
1077,"@frandibene Am, igual dejame decirte que sos re minita chabon, es malo pero no taaaanto, por lo menos no te toco la semana de lluvia como a mi",0,42561,mechi
1078,No hay nada mas lindo que dormir con lluvia😍 me relaja tanto,1,62932,mechi
1079,que lluvia de mierda pobres pibes,1,39846,mechi
1080,"#CórdobaAR, LUNES 12: 🔻19ºC 🔺26ºC
⛈ Mañana: Probables neblinas
⛈ Tarde/Noche: Cielo nublado. Probabilidad de lluvias y tormentas algunas localmente fuertes. Mejorando hacia la noche. Vientos moderados o regulares del sector sur, con ráfagas.",1,31154,mechi
1081,"Estamos teniendo un diálogo con mí hermano SIN PELEAR. Me va a hacer una mesita para que estudie , increíble. Mañana llueve",0,63126,mechi
1082,"#Clima 🌥 | Jornada nublada en Rafaela, ¿Habrá lluvias? | Rafaela amaneció con un cielo algo nublado y una temperatura superior a los 20°C. El Servicio Meteorológico prevé lluvias para la tarde de hoy. https://t.co/ySoskshbI8",1,93140,mechi
1083,Acá en @ReaRevista hablé de #Colectividades a pedido de mí amiga @virgiaco https://t.co/qd1JLE0Odx,0,41891,mechi
1084,La piedra y las ráfagas provocaron destrozos en Miramar y Marull https://t.co/tA7LXmzbHg,1,71439,mechi
1085,"Tu cara dudaba en la lluvia, yo quise extenderte mi mano... 
Las esferas giraban en el cielo, ahora sos una de ellas.",0,88283,mechi
1086,"¡Buen martes y comienzo de 2019, #SantaFe! 🌫 Para hoy se pronostica cielo nublado, probabilidades de tormentas aisladas y temperaturas entre los 23 y 33ºC https://t.co/9snnemWkIP",1,108168,mechi
1087,"Según dicen hay pronóstico de lluvia para hoy, pero acá estamos, trabajando 💪🏽 https://t.co/r7lrWrYVnb",1,85039,mechi
1088,Hoy es la lluvia de estrellas a la noche y quiero llorar porque no quiero verla sola,0,79912,mechi
1089,Derrumbe y milagro en el barrio San Salvador. Una mujer y su hijo quedaron abajo de los escombros.  @roxicanal12 #ArribaCórdoba https://t.co/F2t9eqWIEk https://t.co/13iCNYOr8Y,0,20449,mechi
1090,"Juro que pensé que nunca iba a salir el sol después de esta tormenta, pero salió y cada vez brilla más. Aprendí que siempre que dije “no puedo mas” pude más. Soy muy feliz ♥️",1,56789,mechi
1091,"@VaninaCena Hola Vanina, buen día!! Por aquí lluvia..",1,52199,mechi
