msj_ort;TAG
que linda lluvia     seria    noche si estuvieses aca con migo  ;1
el crack  con guitarra tarde hermosa lluvia nos dio señor  mas puedo pedir    ;0
igual altas ganas volver cuando estabamos pleno auge tipo            era andar todos dias año mas viento  lluvia  hielo  frio haya ;0
 veces lluvias solo mojan  penso heroe fuerte esos años  salir tumba no tener vocacion cualquier yugo no fuera caño  ;0
ni ganas ir colegio con lluvia ;1
la siesta campo mas lluvia  algo unico  \U0001f60e \U0001f60e ;0
lluvia estrellas male sal ;0
lluvia  \U0001f60d siesta  \U0001f60d mejor combinacion  \U0001f60d \U0001f60d ;0
que linda combinacion lluvia   estudiar rendir   dias seguidos como cabecear bala ;0
robaron moto barrio jardin fue cenar casa suegro  dejo honda tornado afuera sustrajeron   ;0
que hermosa lluvia dormir  \u26c8 \u2764  ;1
unas ganas ver lluvia estrellas con fernet mano  ;0
llueve lindo mucho cordoba  creo lluvia viene persiguiendo viajo conmigo cordoba neuquen rio  negro inversa rio negro neuquen cordoba ;1
la vez van empezar llueve lpm ;0
truenos chotos ;1
 volvamos tarantela anoche bajo lluvia ;0
lo bueno toda lluvia no vamos correr gimnasio  ;1
odio calor  devuelvanme dias grises  frio lluvia favor  ;0
 \U0001f327 niño instalado hasta abril       lluvias  campaña      maiz  soja  ;1
buen dia viernes tormentas parana  ;1
yo quisiera tomar sol como cualquier persona pero trabajo toda tarde domingos no trabajo nublado defecto llueve ;0
que lluvia puta ;1
 no indignan lluvia indignan calles rebalsadas agua no obras publicas hacen nadie dijo no hay hambre  \U0001f914 ;0
lluvia lindo  \U0001f60d \U0001f327    ;1
gente consejo no agarrar descalzo nada sea electrico  cuando hay tormenta  pueden quedar como yo mañana  saludos  ;0
gracias dios poco sol tanta gente pasando mal lluvia   \U0001f31e \U0001f31e tengan hermoso dia   ;0
dormirse escuchando lluvia tendria considerarse octava maravilla mundo  ;0
que sueño  lluvia dicen ;0
por ahora tengo ir entrenar llueve   \U0001f926 \U0001f3fd \u200d \u2642  ;1
mira lindos rayos como caiga uno frente ;1
despues lluvia siempre sale sol  dicen  ;0
   cumpleaños con    grados mis    llueve  bueno gracias igual ni queria hacer joda ;1
norte san luis  cien familias lafinur afectadas destrozos provoco tormenta   ;1
tranquila mama tormenta pasara \u266a ;0
ya acercan especiales lavecchia no vi planeta gol todo año  rayos ;0
 favor   hace    dias despues tormenta quedo barro desniveles calle  justo frente    viernes siguientes barren calles barrio saltean amancio alcorta  cuadra       barro pudriendo  mucho olor  ;1
el clima parece estabilidad emocional  llueve rato  sale sol  cuando menos esperas larga con toda  asi sucesivamente ;1
 recien pego lluvia tremenda pero corta     minutos paro ;1
vola alto suru  tranquilidad saber estas llegando paz  lluvia dandonos esa tranquilidad vas estar paz  vas ser estrella mas brillante cielo  hasta siempre flaco \U0001f607 \U0001f497 ;0
lo peor todo no lluvia    lindo calor va venir despues ;1
y si venis dormimos con ventana abierta mientras llueve  ;0
esta tormenta porque mande algo candela respondio ;1
y yo iba ir area  linda lluvia ;1
 todos escucharon super trueno yo ni ahi  \U0001f914 ;1
me gustaria tener perro  solo poder sacarlo pasear hora  con lluvia  ;0
llueve    dan ganas estar cama quiero matar ;1
que verga lluvia loco ;1
parecia iba caer cielo ni arranco lluvia    ;1
la puta pario lluvia culiada  activo casa   ;1
 intenta poniendo sonidos lluvia cosas asi ;0
fanatica tormentas  ;0
 tambien escuche pero no si era trueno  ;0
que lindo ser imparcial  mismo cualquier resultado ademas lluvia ponga riesgo final entre dos equipos viven cagando resto clubes  acomodan arbitros  fechas  horarios    ;0
uh viene verdadera tormenta lindo ;1
quien puede dormir mal escuchando sonido lluvia    amo  \U0001f60d \U0001f327  \u26c8  ;1
 venite casa ver lluvia amor ;0
 \U0001f602 \U0001f602 \U0001f602 \U0001f602 \U0001f308 rayo gay fulmino  ;0
alguien mas escucho trueno mas groso vida madrugada  ;1
la fucking  primavera tormentas estilo apocalipticas  \U0001f611 ;1
por dios esos truenos lpm ;1
chicos voy ir poner carpa gitanos colectividades ver si asi nos dejamos joder con tanta lluvia yo quiero bailar  ;0
esta lluvia  por dios ;1
tormenta calmate no tengo ganas irme abajo dormir ;1
 frida dormi tranquila total llueve no puedo lavar ropa  \U0001f602 \U0001f618 \u2764  ;1
con lluvia ta hacer todo  \U0001f970 ;1
mi novio rie porque tengo miedo truenos  \U0001f62d ;0
hola queres venir casa       diciembre mirar lluvia estrellas  enviar ;0
 si aja ver lluvia estrellas ;0
 rayos  dije    ;0
lluvia  ;1
mi tio santiagueño invito ver lluvia estrellas campo genio puso      ;0
 \U0001f449 este protector solar aerosol hidratante provee proteccion alta frente  \u26a1  rayos uv  formula enriquecida con acido hialuronico origen natural    \u2714 textura acuoso  \u2714 resistente sudor  \U0001f4a6     ;0
anoche vi estrella fugaz casualidad  porque ni acordaba era lluvia estrellas    trajo tantos recuerdos veranos pasados  horas horas con amigos campo mirandolas  \u2764  \U0001f4ab ;0
nada mas lindo dormir siesta con lluvia  \U0001f60d ;0
son casi llueve  necesito vuelva abrir super asi compro pan dulce  malo tan vagos estos chinos    recien aparecen  ;1
no dan idea miedo tengo viajar con tormenta novio quiere vaya  chicos  si sucede algo  ya saben  ;1
la lluvia bell ville viniendo aca \U0001f60d ;1
linda tormenta viene ;1
tranquilo tormenta pasara  \U0001f3b6 \U0001f917 ;0
queres ver lluvia estrella conmigo  mientras comemos boludeces hablamos vida   enviar  ;0
que cosa linda tormentas ;0
se viene lluvia linda dormir con ;1
 colgue entrar twitter  rayos ;0
miren como llueve yo tengo ir trabajar  feo ;1
otro nacional mar del plata otra vez hace frio llueve  \U0001f61f \U0001f614 ;1
que piola estan truenos ;1
lluvia tenes huevos como dos paquetes yerba  ;1
rayos  \U0001f611 ;0
como lluvia he  \U0001f44c ;1
si mañana llueve asi mariachi mando dos besos ;1
con lluvia pollerear juntos castaña  ni caza seguro  ;1
 municipalidad no paga daños hicieron casa con inundacion     ;1
tormenta facha quisiste decir    ;0
alta tormenta yo escuela \U0001f623 ;1
pero hermoso dia lluvia dormirlo completo  \u2665 lastima tengo seguir estudiando  \U0001f622 ;1
esta mama luchona trenzo con tormenta salio buscar ropa soga  macrisis no como bancar vuele ropa   \U0001f4b8 \U0001f32a \u26c8 \U0001f32c \u26a1  ;1
estoy viendo medio transporte voy trabajar  dudo si tomo     agarro alguna canoa porque todo inundado  ;1
que hace dias con lluvia delfina   camukis  ;0
llueve    min sale   sol asi  hermosa humedad  ;1
hola queres venir cucharear toda noche mientras escuchamos truenos  enviar ;0
que lindo cuando llueve tenes faso ;0
tormenta va venir  puse estudiar     \U0001f602 ;1
 nos roban hasta lluvia porteños  ;0
este album hermoso escucharlo dia lluvia crazy con pibes ;0
que enfermos salen con lluvia calle  menos trabajan  ;1
linda tormenta viene  \U0001f924 ;1
lluvia solo quiero decirte amo ;1
hoy no puse lavar ropa porque dio paja obvio mañana anunciado lluvia dificil ser ama casa ;1
me chupe primera final suspendieron lluvia  sean serios definan rapido si van suspender  asi dejo tomar cerveza pedo  ;1
que lindo dormir con lluvia  tremenda paz genera ruido  \U0001f327 ;1
 \U0001f326  lluvia calor  protagonistas sabado  \U0001f449 preven precipitaciones toda jornada maxima llegara    \u27a1    ;1
lluvia amo ;0
quiero salir jugar  pokemon go pero llueve tengo estudiar  \U0001f614 ;1
 chulu si llueve  ;1
estoy pique si llueve estoy horno ;0
esta lluvia mierda no quiere parar lluvia mierda no quiere parar gallina no paran llorar ;1
queres venir ver lluvia estrellas conmigo   \U0001f4ab \U0001f4af \U0001f63b ;0
  estudio mañana llueve fe dios;0
ponerse limpiar patio rayo sol otra manera fea empezar dia ;1
me explota cabeza  seguro no porque estuve   horas rayo sol tome    birras medio ;1
voy cargar celular antes epe corte tormenta ;1
en casa llega pasar tormenta como pasando todos lados tengo ir buscar galpones colon mas menos ;1
que lindo seria estar casa mirando lluvia con mates tortas fritas  ;1
zarpada tormenta  \u26c8 \U0001f32c \U0001f32a  cordoba ;1
si no mandaron esquina ver si llueve  fracasaste como hincha pelotas ;0
lluvia tus besos frios como lluvia ;0
que lluvia orto loco ;1
salimos correr levanto viento tormenta  ya fue mundo quiere casa  con    kilos helado netflix ;1
 parece tormenta va rato che  \U0001f602 \U0001f602 ;1
lo mas cerca estuve muerte fue recien cuando viento tiro puerta cayo encima  lpm rayo toda panza pierna  \U0001f62d  \U0001f62d ;1
 \u26d4 \u26c8 \U0001f4a8  atentos tiempo calles inundadas zonas anegadas luego fuerte temporal lluvia  rosario   \U0001f4cc llovio casi    milimetros poco mas media hora  hay denuncias    arboles ramas caidas  ;1
hermosa lluvia  \u2614 \u2763 ;1
que locura caminar  escabio bajo lluvia   gracias tanto amigos  \u2764  ;1
la mañana  no generar  duelos  \U0001f44a \U0001f44a  ahora match entre movileros analisis  lluvia  \u2602  \U0001f327 llovera todo dia no     ;0
linda tormenta tener novia ;1
addiriyaheprix bajo lluvia     sobre  gen  practica podria suspenderse  abbformulae  formulae  fanboost  josemarialopez  ;0
la puta con lluvia queremos tomar sol ;1
que desastre buenos aires todo inundado    aca sierras estan caer cfk punta  ;1
primero querian calor  llego calor empezaron quejar  ahora llueve quejan lluvia pero manga boludos ;1
 cola llueve ;0
clasico  termino lavar auto llueve      \U0001f614 \U0001f52b ;1
esquina con amigos lluvia \U0001f318 \U0001f44d ;1
me hacer todo tipo peinado  pero ninguno queda bien con vestido  rayos  \U0001f61f ;0
con lluvia dormir con ;1
 golpista    ya veo lluvia tweets con esa acusacion  guardo pero no juegues con ilusiones muy sensible ;0
anoche ultimo viernes año nos despidio con hermosa lluvia  \U0001f60d ;1
imagenes  san justo  santa fe  inundaciones  tormentas  lluvias    ;1
 buen viernes \U0001f449 \U0001f326 \U0001f601 \U0001f4aa buenas condiciones  nubosidad variable fresco calido  inestable sobre noche con probables lluvias minima    \  maxima    \   pronostico del tiempo  tiempo  rosario  somos rosario  ;1
que hermosa lluvia ;1
caen rayos desde ayer yo deje todo enchufado casa  temo televisor amado lavarropas  \U0001f62b \U0001f62d ;1
me asustaron tormenta manga giles  ;1
mal ahi lluvia  ahora como seco flores \U0001f612 ;1
lluvia ;1
que lluvia orto  esperamos tanto dia ;1
me levanto hora porque anoche no queria estudiar con lluvia  daba paja  ahora parece va inundar todo  lpm ;1
soy tan cagona cuando hay tormenta viento fuerte ;0
que linda lluvia  frio  viento todas esas cosas relacionadas con invierno  ;1
los dias lluvia hacen compartir muchas pavadas facebook ;0
a pesar lluvia campo coloso impecable juega desde          newells  defensa justicia  ;1
que cagazo ese rayo creo fue mas fuerte escuche vida ;1
te va caer mal como tormenta     ;0
 si llueve ;1
todo departamento inundado vuelta puta alquilo aca tambien ;1
trueno mierda ;1
mira lluvia no estas  ;1
estoy mando caminar bajo tormenta  piola ;1
 como llueve poco estar flora ;1
llueve con tormenta electrica ah pero mañana ;1
cordoba  estiman caida     cosecha trigo eso sera debido heladas tardias granizo exceso lluvias todo mal  \U0001f69c \U0001f69c  via  ;1
la suerte todo pero egreso llueve  \U0001f44d ;1
 no bancamos tanta lluvia cordobeses  nos gusta asi como cañada poca agua ;0
ya imagino    auditorio inundado mocos lagrimas emocion ;0
rayos agradable sujeto  ;0
estoy enamorada truenos ;0
lluvia mierda no vengas cagar viernes ;1
porque sera dias tengo ir centro llueve torrencialmente    ;0
menos mal mañana pronosticado lluvia ya ven unas nubes negras alla lejos  sino ya estaba tirando balcon ;1
mi hombro rodillas estan matando  rato llueve ;1
y si nos quedamos acostados con lluvia escuchando rels b  ;0
define rayo sol   ;0
la tormenta viene dura   segundos  quiero lluvia viento  frio ;1
  mas pajera    como si lluvia no mojara plantas \U0001f926 ;0
voy salir caminar bajo lluvia ;1
con lluvia unas ganas dormir hasta    ;1
la lluvia  mis amigos musica  \U0001f5a4 ;1
a altura año  con todo paso  igual si hoy cae rayo ;0
que linda lluvia tormenta ;1
me despertaron siesta lleve guardar camioneta tormenta   espero caigan piedras tamaño pelota voley  minimo ;1
la lluvia  helado  peli amiga \U0001f60d \U0001f60d \U0001f60d ;1
soy yo cada vez llueve  ;0
odio tormentas electricas  \U0001f628 \U0001f644 ;0
lluvia cagas toda semana sin poder  ;1
 linda lluvia mientras rascas dos huevos no salis caminar agua barro boludo ;0
que cagada lluvia lpm  \U0001f926 \U0001f3fc \u200d \u2642  \U0001f926 \U0001f3fc \u200d \u2642  ;1
he comprobado cada vez estudio llueve  mala buena suerte  ;0
la peor corte luz domingo noche tormenta  mambero ;1
 ramita tienen mejor seleccion noticias divertidas mejor musica terminar  lunes feliz  contanos donde andas  como trata tarde lluvia   whatsapp             verano universo   ;0
queres venir dormir conmigo mientras escuchamos lluvia  enviar ;0
 buen dia fin sin lluvia ;0
me iba quedar despierta hasta escuche trueno    ;1
 defensa justicia seria figura  pero esto newells    no cualquiera  bien igual rayo  tipo delantero juega volante ofensivo con obligacion marca  hace puede retroceso aporta ofensiva ;0
asi podria producirse algo muy poderoso universo     ;0
poquito llueve ;1
 final trueno tuvo muchos resultados injustos  pero hoy incuestionable ;0
increible bola rayos con luces giratorias colores  azul  rojo verde  dale onda fiesta forma sencilla      conecta cualquier porta lampara luz convencional    no tenes     ;0
  pidiendo fuerzas federales resolver inseguridad con obras claves no corten mas rutas con lluvia  ;1
tremenda tormenta dormir   ;1
amo lluvia encima entrenar  ya fue todo malestar ;1
una paja salir casa con lluvia ;1
un importante sistema desarrollandose norte punilla con mucha precipitacion ocasional granizo  podria intensificarse pasar sierras cordoba   ;1
me acuerdo cuando nos vinimos moto ruta sin luz con alta tormenta  \U0001f631 \U0001f631 ;1
y lluvia concha lora ;1
con tormenta coger todo dia \U0001f609 \U0001f610 ;1
adentro llueve parece nunca va parar ;1
 si llueve vamos con piloto botas pero por favor no suspendan ;1
si aca resistencia acostada porque todo inundado    bronca     ;1
al fin lluvia \U0001f60d ;1
dicen siempre llueve cuando muere pibe bueno porque angeles lloran si otro wacho va cielo      ;0
 abras bañado llueve    ;0
problema tienen con lluvia esa papeles arbolitos no ven quedan horribles ;0
ya estan cronicando piedra seco zona  kempes como odio lluvia frio encima piedra no sea verano aguado     buen domingo  felices fiestas ;1
 exitos tambien amiga \u2764 horrible tener ir rendir con lluvia \U0001f62a ;1
la lluvia  camara lenta   rosario   ;1
sos pelotuda dejas dos dias lluvia moje ropa colgada  ;1
    julio      lluvia barro  rotura anal todavia sangrante  ;0
entre bañarme empezaron truenos cortes luz  casi muero ;1
linda lluvia  \u2764 ;1
fa era con granizo cosa ;1
esta lluvia nos merecemos ;1
 igual dejame decirte mina chabon  malo pero no tanto  menos no toco semana lluvia como ;0
no hay nada mas lindo dormir con lluvia \U0001f60d relaja tanto ;1
que lluvia mierda pobres pibes ;1
 cordoba  lunes      \U0001f53b    \U0001f53a    \u26c8 mañana  probables neblinas  \u26c8 tarde noche  cielo nublado  probabilidad lluvias tormentas algunas localmente fuertes  mejorando hacia noche  vientos moderados regulares sector sur  con rafagas  ;1
estamos teniendo dialogo con hermano sin pelear  va hacer mesita estudie   increible  mañana llueve ;0
 clima  \U0001f325   jornada nublada rafaela  habra lluvias    rafaela amanecio con cielo algo nublado temperatura superior      servicio meteorologico preve lluvias tarde hoy   ;1
aca  hable  colectividades pedido amiga   ;0
la piedra rafagas provocaron destrozos miramar marull  ;1
tu cara dudaba lluvia  yo quise extenderte mano    esferas giraban cielo  ahora ellas  ;0
buen martes comienzo        santa fe   \U0001f32b hoy pronostica cielo nublado  probabilidades tormentas aisladas temperaturas entre    ;1
segun dicen hay pronostico lluvia hoy  pero aca estamos  trabajando  \U0001f4aa \U0001f3fd  ;1
hoy lluvia estrellas noche quiero llorar porque no quiero verla sola ;0
derrumbe milagro barrio san salvador  mujer hijo quedaron abajo escombros    arriba cordoba   ;0
juro pense nunca iba salir sol despues tormenta  pero salio cada vez brilla mas  aprendi siempre dije  \u201cno puedo mas \u201d pude mas  muy feliz  \u2665  ;1
 hola vanina  buen dia   aqui lluvia   ;1
maldita lluvia  \U0001f494 rompi vidrios ventana mojo todo todo ;1
banquen banquen banquen  cuando lluvia estrellas porque yo veo titilar nomas ;0
 no ensucies reputacion manera  fue lluvia pego mal  no si amiga enemiga   ;0
que lindo como llueve lindo como voy faltar colegio mañana ;1
lluvia re concha madre  ;1
florencia dijo quiere  si llueve proximas    ya saben ;0
que loco  pinto ventana rayo sol   oscura noche repente  ya destiño      ;0
 conta porque  menos yo no  lluvias tambien tus pagos mas lugares  ;0
pobre gente despues meses van pagar mandan mal cbu  si creo merezco caiga rayo ;0
con lluvia sin lluvia dormir  \u270c ;1
con lluvia quiero chocolates  \U0001f926 ;1
 tranquila mas inundado voy  quiero ser como cuando viniste llovia mas normal toallon ;0
la tormenta cago sol  \U0001f611 encima ni llueve ;1
      cague partiendo rayo ;0
no quiero esa lluvia dura como    dias  \U0001f612 \U0001f620 ;0
lo costo levantarme mabel  encima llueve ;1
lluvia mi amor \U0001f60d ;1
lo hermoso jugar bajo lluvia  \U0001f60d \u26bd ;1
hoy  plena tormenta  salgo trabajo toque cruzo con viejo pregunta  no deberias estar trabajo   contesto   si  pero hora merienda  voy panaderia  \U0001f602 \U0001f481 \u200d \u2640  alma gorda forever  ;1
 radio tiempo informa  hoy tendremos condiciones desmejorando con nubosidad aumento     probabilidades lluvias algunas tormentas aisladas hacia tarde noche  min   max  con elevada sensacion termica vientos leves moderados norte   ;1
    hola    nos ayudarias completando formulario  indicando hora  duracion e intensidad lluvia  muchas gracias saludo  ;0
dios lluvia favor ;1
como pueden aguantar tanto acostadas tanto rayo sol color ratito despues va \U0001f648 \U0001f648 yo unico bronceo estando pileta pero estar acostada hora rayo sol  no gracias ;0
abrazame hasta gente deje subir historias tiempo cada vez llueve  ;0
alguien  algo fui  conoci tuvo expresion vivir asi  si  alguien corrio sin moverse  esperando lluvia caminar  correr volver volar  con alguien otra vez  ;0
voy casa no  seguro voy llueve todo fin semana  \U0001f644 ;0
esta para dormir dos con lluvia  ;1
el litoral  videos  granizo santa fe santo tome  via  ;1
ahi hago ritual pare lluvia sean felices ;0
y volviendo tema campo  hace   decadas tormentas tardaban hasta   dias formarse era hermoso ver ese paisaje cielo acercaba lentamente    \u2764 ;0
 boludin si ahora bocas tormenta taparon kircheneristas peronistas   ustedes sin cerebro sucios   vagos parasitos ;0
que cosa linda lluvia ;1
me decepcionaste lluvia ;0
nada mejor dormir con lluvia asi    \U0001f60d ;1
mira zonas mas afectadas  como situacion barrio   \U0001f4a1 \U0001f526  ;0
menos mal quede dormir suegra porque sino con tormenta estaria llorando  \U0001f60a ;1
lo lindo noches con lluvia  compañia \u2764 ;1
se largo lluvia   no estrellas  \u2639 ;1
domingo llueve desayunando con amor  \u2764 feliz con tan poco  ;1
que bueno estoy cambiar casa llueve todo  \U0001f644 ;0
con lluvia quiero dormir hasta      no despertarme maldita hora  putas responsabilidades ;1
lluvia  ;1
alto rayo  tuve mini infarto  \U0001f62e ;1
esperando lluvia aca    ;1
todo hermoso con tormenta pero si no calma toque con ratos van desconectar wifi mori ;1
que cosa cielo dormir con tormenta    amo ;1
 cafe  libro  tierra mojada lluvia ese orden  besos majo hermosa     \u2764 ;0
 si llueve no importa mandamos igual ;0
joya viene parar lluvia  cuando ya cague mojando  ni clima quiere  \U0001f602 \U0001f611 ;1
no puede mas hermosa lluvia \U0001f60d ;1
la coca fernet amigos naturales como milanesa pure  lluvia siesta  culo  \U0001f609 ;0
mandale lluvia nomas ;0
  si llueve mal ahi ;1
lluvia no estrellas ;1
con tormenta ganas dormir con abrazarte amor ;1
 jodes  cumpleaños llueve siempre nunca supe carajo hacer ;0
  quedaste sin palabras   nos vemos inundado ;0
che  vamos mirar lluvia estrella juntos  enviar ;0
lluvia orto  no podias esperar hasta martes miercoles   \U0001f621 \U0001f621 ;1
madre llama  atiendo   \u201cay no hija simon llora con truenos ya llamo \u201d  bueno  ;0
llueve creen saber dicen mejor manera comenzar semana con pie derecho  yo digo con buen cafe   buen lunes ;1
ah pero recontra pudrio todo con esa tormenta amiguero onda ;1
ya canso lluvia ;1
terribles truenos ;1
mi abuelo dijo cuando llueve hace burbujas piso porque va llover mucho  asi preparen cama ;0
xq sorprenden tanto con lluvia estrellas si unico hay ve aca lluvia agua ;0
no puedo explicar sensacion hermosa tengo gran gesto    con lluvia nos hizo mini concierto afuera hotel  \U0001f495 estas cosas haces hace grande  gracias todo  nos vemos crespo ratito  ;1
una lluvia concha lora yo sin torta fritas \U0001f494 ;1
               \U0001f602 \U0001f602 \U0001f602 ;0
por que no llueve ya ;0
las noches vuelven eternas  musica melodia perfecta  mensajes menos interesante corazon mas frio dia lluvia con rayos truenos  ;0
dormir con lluvia compañia   \U0001f643  ;0
largate nomas lluvia  quiero dormir   ;0
el sueño lluvia no tiene nombre ;1
 gente flojita lluvia como deja cama    dias  \U0001f92a ;1
que piola estaria tener con quien ver lluvia estrellas    ;0
que cosa hermosa lluvia  ;1
necesito ver cara tanto como ver lluvia apagar incendio quedo  ;0
 suerte llegar aca       \   lluvia no sabe mierda hacer  esperan ;0
un rayo cae arbol playa ;1
dormir con ventana abierta  lluvia fondo olor tierra mojada \U0001f917 \u2665  ;1
se viene lluvia   ;1
quiero caigan pibes lluvia verga ni ;1
que linda lluvia estrellas  rompio lluvia estrellas  ;0
la lluvia mimos \u2665 \U0001f60d ;0
chico trueno ;0
corriendo pleno santa fe  linda lluvia ;1
 rayos  menos intente ;0
osea todavia no entienden dias lluvias dormir no ir colegio  ;0
me encanta sea primavera haya tremenda tormenta electrica aca cordoba  chubut tenes sola todo año verano ;1
ojala no parta rayo ;0
dia lluvia      desayuno nutritivo  visperas año nuevo  relax  vacaciones  viva vida  cumplir sueños  celebrar  bendiciones  paz aguas verdes  costa  ;1
amo lluvia  pero si no pasa esto  apuñalaste espalda perra traidora   ;0
 escucho truenos  seguro largue nuevo si no lloviendo ya ;1
la lluvia fue puro cuento ;0
ese otras no lluvia frio hace altura año ;1
ta facil voy seguir estudiando con lluvia  \U0001f634 ;1
que linda lluvia pasarla limando serie con enzo lastima cuando descuide ya estaba dormido ;1
nada mejor dormir con ruido lluvia ;0
  culpa ustedes no vinieron lluvia  ;1
 esa  si no llueve mañana coordinamos  ;0
 no puedo filmar  llueve con mucho viento   no puedo salir balcon ni abrir ventanas   fuertisimo    \U0001f631 ;1
la concha lora  lluvia puta ;1
alertan tormentas intensas san luis  bajaria temperatura  ;1
  lluvia   pelis   chocolates   \u2661       enviar    ;0
 zona sur ocho aerolineas faltan   todo inundado ;1
la siesta  campo  lluvia cable tierra  mas puedo pedir  \U0001f493 ;0
un chico iba corriendo abajo lluvia  quiso saltar charco  piso cordon resbalo  tuve sacar ropa afuera porque estaba todo mojado \U0001f644 \U0001f644 ;1
transito intransitable    cordoba   lluvia ;1
estaba activar alguna pero agarro terrible dolor cabeza con lluvia mejor duerme fuerte ;1
y encima siempre llueve  \U0001f937 \u200d \u2640   ;1
jardin inundado mendiolaza cordoba  espero mujer no riegue mañana   ;1
viajar con tormenta  lindo pero peligroso  ;1
el ruido lluvia  \U0001f63b ;1
cosas lindas jugar futbol noche con lluvia   \U0001f60d ;1
la lluvia  mate teorias comunicacion ;1
explico porque  chuty vs papo punteros   arkano vs dtoke revancha   walls vs wos similares   errece vs klan gritones   bta vs replik tecnicas   zasko vs mks molestan criticas   force vs trueno youtubers   odiados   blon vs dani grandes mentes   skone vs stuart ingenio  ;0
me desperto rayo  divino despertarse asi  cada dia mas fan tormentas eh  ;1
corri sillon tenia cueva ant man  lpm lluvia mierda ;1
me desperto ahora no puedo dormir   no dan lluvia   tambien mañana  ;0
la lluvia  acompañada serie abrazada  no pido mas  \u2764  ;1
 anda  queres dar vueltas mientras llueve ;0
siesta con lluvia  \U0001f60d ;1
ojala llueve año nuevo  haga tremendo noche como año pasado     ;0
    vamos ver lluvia estrellas noche  yo como no iba invitar nadie dije  same amiguero  ;0
esta lluvia  \U0001f60d ;1
  va llover       mira  ya goteando  dijo bauti anoche   am   \U0001f914 \U0001f644 lluvia  moto  candela  ropa sabado    ;0
queridos albañiles  gracias despertarme masazos  parece joda pero salvan siempre estan  \U0001f64c  estos dias lluvia no trabajaron cagaron pedo quedarme dormida  pd  mañana llevo unas birras \U0001f37b ;0
para cumple va haber lluvia estrellas  \U0001f320 ;0
el ruido lluvia techo  olor tierra mojada  mate con tortas fritas  siesta mas disfruta  dias grises mejor hay  \u2764 ;1
 segun smn  habra lluvias hasta madrugada martes  publicado telediario digital     ;1
 muchisimas gracias  aqui hermana mayor      ;0
 llueve si si ;1
alta tormenta parana  ver si dioses hunden buena vez cual atlantis libran tener suicidarme  ;1
todo parece va venir linda tormenta ;1
que linda lluvia  \U0001f60d ;1
 linda lluvia dormir dos lastima falta algo ;1
el amor todo importa  lluvia cae  estrellas explotan silenciosamente inmensidad espacio  aqui  diminuto planeta llamado tierra  algunas veces nos encontramos nos regalamos abrazo    jeff foster ;0
alguien ver lluvia estrellas ;0
llueve como concha lora papa boludeaba no abria puerta auto  moje todo ;1
que lindo dormir con lluvia ;1
 bueno  si no llueve mucho voy  porque chata no puede mojar mucho  tienen entender estos profesores  \U0001f937 \u200d \u2640  ;0
amo lluvia  pero imposible no pensar todas familias estan pasando terriblemente mal con temporal  \U0001f614 \u26a1 \u26c8 ;1
que tormenta tan pija si termina ahora ;1
terrible dia lluvia ni moverse ;1
ya llueve estoy cama  faltas sale siesta ;1
que lindo dormir con sonido lluvia  \U0001f60d \u2764  ;1
avisa con esos truenos ;1
yo sola vengo temprano cuando llueve ;0
estudiar finales cama mientras escucho lluvia    peligrosa jugada  ;1
       beso abrazo amiga  aca vino tormenta lluvia truenos  cualquier momento semejante corta luz  hasta mañana descanses   \U0001f618 ;1
no hay olvidarse nunca quien estuvo ahi calmarte cuando tenias ataque llanto  miedo  angustia  enojo  no hay olvidarse nunca quien nos presto hombro  beso  abrazo  no hay olvidarse nunca quien nos refugio cuando afuera era tormenta   ;0
basta lluvia concha madre   ;1
 federala  como llueve cordoba   desde primera hora mañana comenzo caida agua momentos hace intenso  veremos como sigue afecta  racing cordoba vs  desamparados  ;1
literal adentro afuera llueve  \U0001f60e ;1
sigo esperando lluvia inversiones   sorete mal cagado     ;0
lluvia escuchas   ;0
donde tormenta   donde tormenta \U0001f3b6  ;0
 trueno  relampago resplandor trueno ruido  ;0
el rayo anoche   mañana hizo pegar salto cama literal ;1
rayos  cuanta intensidad  ;0
que linda lluvia estrellas ;0
que ganas seguir durmiendo con lluvia  \U0001f60d ;1
este otro  \u201cdady brieva \u201d quiere nos vaya mal todos argentinos   tira basura desagües  promueve inundacion  poniendo riesgo vida gente despues dicen no hicieron obras difundan  hasta pague daño hace sociedad  ;0
menos mal decidimos hacer trabajo video llamada  no pensaba viajar con lluvia ;1
le tengo terrible miedo tormentas hace seis horas estoy viajando con tormenta  juro estoy llorando ;1
arrancaron relampagos  nadie va a ayudar  ni siquiera rezar  ;1
como no siguiente persona cae rayo asi cago muriendo ;0
hay tanta lluvia tus ojos ;0
se viene alta tormenta nicolas no viene mas  tengo miedo ;1
que placer sonido lluvia mientras trabajo  \U0001f486 \U0001f3fb \u200d \u2640  ;1
que hacer dia lluvia yahoo respuestas ;0
en fotos  asi quedo cordoba tras paso tormenta   voz  ;1
la coca fernet amigos naturales  como milanesa pure  lluvia siesta  culo   ;0
 si  mira si parte rayo yendo ;0
la peor den lluvia cumpleaños puta madre ;0
que largue ya necesito dormir con lluvia  \U0001f60d ;1
 yo tengo trauma debido vez hizo verga monitor tormenta  asi desenchufo todo cagon  \U0001f625 ;0
y lluvia   ;1
  nota deberia ser con ferraresi  agua ve siempre llueve  digo periodismo  capital ya estarian linchando larreta   terrible ;0
sali con paraguas no llueve mas  clima hace quedar mal \U0001f644 \U0001f644 ;1
